zfygpa;zgpa;DOB_yr;isPartTime;sex;race;cluster_tier;family_income;lsat;ugpa;weighted_lsat_ugpa;pass_bar
-1.79;0;68;No;Female;White;2;4;30;3.1;625.78946;Failed_or_not_attempted
1.33;1.88;69;No;Female;White;4;5;44;3.5;886.842082;Passed
-0.11;-0.57;69;No;Female;White;2;4;29;3.5;649.999987;Passed
1.22;0.95;58;Yes;Female;White;3;5;35;3;694.736825;Failed_or_not_attempted
0.88;0;51;Yes;Female;White;2;4;39;2.9;747.894717;Failed_or_not_attempted
0.63;0.37;68;No;Male;White;4;3;37;3.4;766.315771;Passed
0.67;0.34;67;No;Female;White;4;4;43;3.3;851.052609;Passed
1.23;0.92;65;No;Male;White;2;4;37;2.6;686.315771;Failed_or_not_attempted
-0.67;-1.3;64;No;Female;White;5;4;41;3.3;819.473663;Passed
-1.73;-1.34;66;No;Male;White;3;4;24.5;2.2;448.9473585;Passed
-0.32;-0.38;68;No;Female;White;3;4;34;3.3;708.947352;Passed
-0.92;-0.72;64;No;Male;White;2;4;35;3.2;714.736825;Failed_or_not_attempted
-0.05;-0.03;56;No;Female;White;4;3;40;2.4;713.68419;Passed
-1.1;0;68;No;Female;White;2;4;31;2.9;621.578933;Failed_or_not_attempted
0;0;69;No;Male;Black;6;3;37;3.6;786.315771;Passed
0.73;0.94;62;No;Female;White;4;3;35;2.9;684.736825;Passed
-1.82;0;54;No;Male;Black;4;2;17;3.1;420.526311;Failed_or_not_attempted
0;0;67;No;Female;White;6;4;33;3.3;693.157879;Passed
0;0;69;No;Male;White;4;4;35;3.3;724.736825;Failed_or_not_attempted
-0.59;-1.49;53;No;Female;White;3;3;28;2.4;524.210514;Passed
-3.22;0;60;No;Male;Black;1;3;26;2.5;502.631568;Failed_or_not_attempted
-0.76;-0.56;69;No;Female;White;5;4;32.5;3.2;675.2631425;Passed
1.04;1.09;66;No;Male;White;1;3;32.5;2.4;595.2631425;Passed
0.56;0.87;64;No;Female;Black;1;3;23;2.8;485.263149;Passed
-0.23;-0.72;69;No;Female;White;3;3;37;2.8;706.315771;Passed
1.08;0.88;64;No;Female;White;6;3;41;3.9;879.473663;Passed
-0.69;-0.45;65;No;Female;Black;6;4;40;2.8;753.68419;Passed
0.58;0.53;68;No;Female;White;3;4;30;3.3;645.78946;Passed
0.67;0.4;70;No;Male;White;4;4;40;3.7;843.68419;Passed
-1.8;-1.13;68;No;Male;White;3;4;22;2.7;459.473676;Passed
1.94;0.98;69;No;Female;White;5;4;48;3.7;969.999974;Passed
-0.53;-1.05;68;No;Female;White;3;4;36;2.9;700.526298;Passed
-0.67;-0.9;68;No;Female;Other;4;3;36;3.1;720.526298;Passed
-2.84;0;63;No;Male;Black;3;2;20;2.1;367.89473;Failed_or_not_attempted
-0.64;-1.12;65;No;Male;White;3;1;36;3.5;760.526298;Passed
0.64;-0.1;68;No;Male;White;4;3;45;3;852.631555;Passed
2.4;3.22;62;No;Male;White;1;3;35;2.6;654.736825;Passed
-0.15;0;52;No;Male;White;3;4;39;3.3;787.894717;Failed_or_not_attempted
0;0;68;No;Female;Other;6;4;47;4;984.210501;Passed
-0.6;-1.63;67;No;Male;White;5;2;36;3.4;750.526298;Passed
0;0;69;No;Female;Other;6;4;48;3.7;969.999974;Passed
1.27;0.87;69;No;Female;White;4;4;46;3.8;948.421028;Passed
1.02;0.73;59;Yes;Male;White;5;3;39;3.1;767.894717;Passed
