STOP_FRISK_TIME;YEAR2;MONTH2;DAY2;STOP_WAS_INITIATED;LOCATION_IN_OUT_CODE;JURISDICTION_DESCRIPTION;OBSERVED_DURATION_MINUTES;SUSPECTED_CRIME_DESCRIPTION;SUSPECT_ARRESTED_FLAG;OFFICER_IN_UNIFORM_FLAG;FRISKED_FLAG;SEARCHED_FLAG;OTHER_CONTRABAND_FLAG;BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG;BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG;SUSPECTS_ACTIONS_CASING_FLAG;SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG;SUSPECTS_ACTIONS_DECRIPTION_FLAG;SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG;SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG;SUSPECTS_ACTIONS_LOOKOUT_FLAG;SUSPECTS_ACTIONS_OTHER_FLAG;SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG;DEMEANOR_OF_PERSON_STOPPED;SUSPECT_REPORTED_AGE;SUSPECT_SEX;SUSPECT_RACE_DESCRIPTION;SUSPECT_HEIGHT;SUSPECT_WEIGHT;SUSPECT_BODY_BUILD_TYPE;STOP_LOCATION_PRECINCT;STOP_LOCATION_X;STOP_LOCATION_Y;WEAPON_FOUND_FLAG
11:59:00 PM;2017;June;Monday;Based on C/W on Scene;O;PSB;1;CPW;Y;Y;Y;Y;N;Y;NA;NA;Y;Y;NA;NA;NA;NA;NA;CPW;29;MALE;WHITE;5.1;180;THN;13;988424;206091;N
11:59:00 PM;2017;January;Thursday;Based on Radio Run;O;Housing;1;ASSAULT;Y;Y;Y;Y;N;NA;NA;NA;NA;Y;NA;NA;NA;NA;Y;EXTREMLY AGITATED;27;MALE;BLACK;5.7;150;THN;32;1001742;241609;Y
11:59:00 PM;2017;September;Sunday;Based on Radio Run;O;PSB;1;GRAND LARCENY AUTO;N;Y;Y;Y;N;Y;NA;NA;NA;Y;NA;NA;NA;NA;NA;GRAND LARCENY AUTO;33;MALE;WHITE HISPANIC;6.3;180;MED;33;1002685;247717;N
11:59:00 PM;2017;December;Wednesday;Based on Radio Run;NA;PSB;0;UNAUTHORIZED USE OF A VEHICLE;Y;N;N;N;N;NA;NA;NA;NA;Y;NA;NA;NA;NA;NA;UNAUTHORIZED USE OF A VEHICLE;19;MALE;WHITE HISPANIC;5.6;100;THN;115;1014511;217819;N
11:58:00 PM;2017;July;Saturday;Based on Self Initiated;O;Housing;3;ASSAULT;Y;Y;N;Y;N;NA;NA;NA;Y;NA;NA;NA;NA;NA;NA;PANIC;18;MALE;BLACK;5.7;165;THN;7;990516;201169;Y
11:58:00 PM;2017;July;Sunday;Based on Radio Run;NA;PSB;0;CPW;N;Y;Y;N;N;NA;NA;NA;NA;Y;NA;NA;NA;NA;NA;CPW;44;MALE;WHITE HISPANIC;5.6;180;MED;34;1003616;255447;N
11:58:00 PM;2017;November;Friday;Based on Self Initiated;NA;PSB;1;CPW;N;N;Y;Y;N;NA;NA;NA;Y;NA;NA;NA;NA;NA;NA;CPW;30;NA;BLACK;5.11;180;U;42;1013754;244069;Y
11:58:00 PM;2017;March;Wednesday;Based on Self Initiated;I;Housing;1;CRIMINAL POSSESSION OF MARIHUANA;N;Y;N;N;N;NA;NA;NA;NA;NA;NA;NA;NA;Y;NA;NERVOUS;23;MALE;BLACK HISPANIC;5.8;160;MED;43;1025740;237607;N
11:58:00 PM;2017;April;Thursday;Based on Radio Run;I;Housing;1;CPW;N;N;Y;N;N;Y;NA;NA;Y;NA;NA;NA;NA;NA;Y;NERVOUS;40;MALE;WHITE HISPANIC;5.7;150;THN;NA;NA;NA;N
11:58:00 PM;2017;January;Friday;Based on Self Initiated;S;Transit;1;CPW;Y;N;Y;Y;N;NA;NA;NA;Y;NA;NA;NA;NA;NA;NA;CPW;26;MALE;BLACK;6.1;165;THN;67;998243;176387;Y
